# pitch[cm]   k_eff sigma_k_eff
3.500        0.72703 0.00012
3.600        0.75482 0.00012
3.700        0.77803 0.00012
3.800        0.79744 0.00012
3.900        0.81327 0.00012
4.000        0.82553 0.00012
4.100        0.83559 0.00012
4.200        0.84264 0.00012
4.300        0.84754 0.00011
4.400        0.85064 0.00011
4.500        0.85177 0.00011
4.550        0.85190 0.00011
4.600        0.85166 0.00011
4.700        0.85003 0.00011
4.800        0.84744 0.00011
4.900        0.84331 0.00011
5.000        0.83848 0.00010
5.100        0.83265 0.00010
5.200        0.82648 0.00010
5.300        0.81914 0.00010
