# pitch[cm]   k_eff sigma_k_eff
4.000        0.84529 0.00011
4.100        0.84819 0.00012
4.200        0.84935 0.00011
4.300        0.84877 0.00011
4.400        0.84663 0.00011
4.500        0.84296 0.00010
4.600        0.83829 0.00010
4.700        0.83271 0.00010
4.800        0.82619 0.00010
4.900        0.81887 0.00010
5.000        0.81093 0.00010
5.100        0.80222 0.00010
5.200        0.79314 0.00010
5.300        0.78392 0.00010
5.400        0.77377 0.00010
5.500        0.76371 0.00010
5.600        0.75307 0.00010
5.700        0.74249 0.00010
5.800        0.73169 0.00010
5.900        0.72076 0.00010
6.000        0.70951 0.00010
