# pitch[cm]   k_eff sigma_k_eff
4.000        0.84134 0.00012
4.100        0.84443 0.00012
4.150        0.84518 0.00011
4.200        0.84540 0.00011
4.250        0.84544 0.00011
4.300        0.84502 0.00011
4.400        0.84315 0.00011
4.500        0.83960 0.00011
4.600        0.83478 0.00011
4.700        0.82933 0.00011
4.800        0.82318 0.00010
4.900        0.81582 0.00010
5.000        0.80814 0.00011
5.100        0.79943 0.00010
5.200        0.79062 0.00010
5.300        0.78124 0.00010
5.400        0.77154 0.00010
5.500        0.76146 0.00010
5.600        0.75099 0.00010
5.700        0.74080 0.00010
5.800        0.72988 0.00010
5.900        0.71917 0.00010
6.000        0.70822 0.00010
